V2	V(ce)	Ic(Q1)
Step Information: Vbb=0  (Step: 1/26)
0.000000000000000e+00	2.235049e-08	-3.991159e-11
1.000000000000000e-01	9.999997e-02	4.810240e-11
2.000000000000000e-01	2.000000e-01	5.085628e-11
3.000000000000000e-01	3.000000e-01	5.112355e-11
4.000000000000000e-01	4.000000e-01	5.130791e-11
5.000000000000000e-01	5.000000e-01	5.148921e-11
6.000000000000001e-01	6.000000e-01	5.167043e-11
7.000000000000001e-01	7.000000e-01	5.185160e-11
8.000000000000000e-01	8.000000e-01	5.203276e-11
9.000000000000000e-01	9.000000e-01	5.221392e-11
1.000000000000000e+00	1.000000e+00	5.239508e-11
1.100000000000000e+00	1.100000e+00	5.257625e-11
1.200000000000000e+00	1.200000e+00	5.275727e-11
1.300000000000000e+00	1.300000e+00	5.293857e-11
1.400000000000000e+00	1.400000e+00	5.311986e-11
1.500000000000000e+00	1.500000e+00	5.330089e-11
1.600000000000000e+00	1.600000e+00	5.348219e-11
1.700000000000000e+00	1.700000e+00	5.366322e-11
1.800000000000000e+00	1.800000e+00	5.384425e-11
1.900000000000000e+00	1.900000e+00	5.402580e-11
2.000000000000000e+00	2.000000e+00	5.420683e-11
2.100000000000000e+00	2.100000e+00	5.438787e-11
2.200000000000000e+00	2.200000e+00	5.456916e-11
2.300000000000000e+00	2.300000e+00	5.474993e-11
2.400000000000000e+00	2.400000e+00	5.493122e-11
2.500000000000000e+00	2.500000e+00	5.511252e-11
2.600000000000000e+00	2.600000e+00	5.529329e-11
2.700000000000000e+00	2.700000e+00	5.547510e-11
2.800000000000000e+00	2.800000e+00	5.565640e-11
2.900000000000000e+00	2.900000e+00	5.583716e-11
3.000000000000000e+00	3.000000e+00	5.601846e-11
3.100000000000000e+00	3.100000e+00	5.619975e-11
3.200000000000000e+00	3.200000e+00	5.638052e-11
3.300000000000000e+00	3.300000e+00	5.656181e-11
3.400000000000000e+00	3.400000e+00	5.674311e-11
3.500000000000000e+00	3.500000e+00	5.692388e-11
3.600000000000000e+00	3.600000e+00	5.710517e-11
3.700000000000000e+00	3.700000e+00	5.728646e-11
3.800000000000000e+00	3.800000e+00	5.746776e-11
3.900000000000000e+00	3.900000e+00	5.764905e-11
4.000000000000000e+00	4.000000e+00	5.783034e-11
4.100000000000001e+00	4.100000e+00	5.801163e-11
4.200000000000000e+00	4.200000e+00	5.819241e-11
4.300000000000000e+00	4.300000e+00	5.837317e-11
4.400000000000000e+00	4.400000e+00	5.855499e-11
4.500000000000000e+00	4.500000e+00	5.873576e-11
4.600000000000001e+00	4.600000e+00	5.891653e-11
4.700000000000000e+00	4.700000e+00	5.909834e-11
4.800000000000001e+00	4.800000e+00	5.927912e-11
4.900000000000000e+00	4.900000e+00	5.945989e-11
5.000000000000000e+00	5.000000e+00	5.964170e-11
5.100000000000001e+00	5.100000e+00	5.982247e-11
5.200000000000000e+00	5.200000e+00	6.000325e-11
5.300000000000001e+00	5.300000e+00	6.018506e-11
5.400000000000000e+00	5.400000e+00	6.036688e-11
5.500000000000000e+00	5.500000e+00	6.054764e-11
5.600000000000001e+00	5.600000e+00	6.072946e-11
5.700000000000000e+00	5.700000e+00	6.091023e-11
5.800000000000001e+00	5.800000e+00	6.109100e-11
5.900000000000000e+00	5.900000e+00	6.127282e-11
6.000000000000000e+00	6.000000e+00	6.145359e-11
6.100000000000001e+00	6.100000e+00	6.163436e-11
6.200000000000000e+00	6.200000e+00	6.181617e-11
6.300000000000001e+00	6.300000e+00	6.199694e-11
6.400000000000000e+00	6.400000e+00	6.217771e-11
6.500000000000000e+00	6.500000e+00	6.235953e-11
6.600000000000001e+00	6.600000e+00	6.254030e-11
6.700000000000000e+00	6.700000e+00	6.272107e-11
6.800000000000001e+00	6.800000e+00	6.290288e-11
6.900000000000000e+00	6.900000e+00	6.308366e-11
7.000000000000000e+00	7.000000e+00	6.326443e-11
7.100000000000001e+00	7.100000e+00	6.344624e-11
7.200000000000000e+00	7.200000e+00	6.362701e-11
7.300000000000001e+00	7.300000e+00	6.380779e-11
7.400000000000000e+00	7.400000e+00	6.398960e-11
7.500000000000000e+00	7.500000e+00	6.417037e-11
7.600000000000001e+00	7.600000e+00	6.435218e-11
7.700000000000000e+00	7.700000e+00	6.453400e-11
7.800000000000001e+00	7.800000e+00	6.471477e-11
7.900000000000000e+00	7.900000e+00	6.489554e-11
8.000000000000000e+00	8.000000e+00	6.507735e-11
8.100000000000000e+00	8.100000e+00	6.525708e-11
8.200000000000001e+00	8.200000e+00	6.543890e-11
8.300000000000001e+00	8.300000e+00	6.562071e-11
8.400000000000000e+00	8.400000e+00	6.580043e-11
8.500000000000000e+00	8.500000e+00	6.598225e-11
8.600000000000000e+00	8.600000e+00	6.616407e-11
8.700000000000001e+00	8.700000e+00	6.634379e-11
8.800000000000001e+00	8.800000e+00	6.652561e-11
8.900000000000000e+00	8.900000e+00	6.670742e-11
9.000000000000000e+00	9.000000e+00	6.688715e-11
9.100000000000000e+00	9.100000e+00	6.706896e-11
9.200000000000001e+00	9.200000e+00	6.725078e-11
9.300000000000001e+00	9.300000e+00	6.743051e-11
9.400000000000000e+00	9.400000e+00	6.761232e-11
9.500000000000000e+00	9.500000e+00	6.779414e-11
9.600000000000001e+00	9.600000e+00	6.797386e-11
9.700000000000001e+00	9.700000e+00	6.815568e-11
9.800000000000001e+00	9.800000e+00	6.833750e-11
9.900000000000000e+00	9.900000e+00	6.851722e-11
1.000000000000000e+01	1.000000e+01	6.869903e-11
Step Information: Vbb=400m  (Step: 3/26)
0.000000000000000e+00	1.887426e-05	-3.370403e-08
1.000000000000000e-01	9.994191e-02	1.037372e-07
2.000000000000000e-01	1.999397e-01	1.076688e-07
3.000000000000000e-01	2.999395e-01	1.079453e-07
4.000000000000000e-01	3.999394e-01	1.081224e-07
5.000000000000000e-01	4.999394e-01	1.082964e-07
6.000000000000001e-01	5.999392e-01	1.084703e-07
7.000000000000001e-01	6.999391e-01	1.086442e-07
8.000000000000000e-01	7.999390e-01	1.088181e-07
9.000000000000000e-01	8.999389e-01	1.089920e-07
1.000000000000000e+00	9.999388e-01	1.091659e-07
1.100000000000000e+00	1.099939e+00	1.093398e-07
1.200000000000000e+00	1.199939e+00	1.095137e-07
1.300000000000000e+00	1.299939e+00	1.096876e-07
1.400000000000000e+00	1.399938e+00	1.098615e-07
1.500000000000000e+00	1.499938e+00	1.100354e-07
1.600000000000000e+00	1.599938e+00	1.102093e-07
1.700000000000000e+00	1.699938e+00	1.103832e-07
1.800000000000000e+00	1.799938e+00	1.105572e-07
1.900000000000000e+00	1.899938e+00	1.107311e-07
2.000000000000000e+00	1.999938e+00	1.109050e-07
2.100000000000000e+00	2.099938e+00	1.110789e-07
2.200000000000000e+00	2.199938e+00	1.112528e-07
2.300000000000000e+00	2.299937e+00	1.114267e-07
2.400000000000000e+00	2.399937e+00	1.116006e-07
2.500000000000000e+00	2.499937e+00	1.117745e-07
2.600000000000000e+00	2.599937e+00	1.119484e-07
2.700000000000000e+00	2.699937e+00	1.121223e-07
2.800000000000000e+00	2.799937e+00	1.122962e-07
2.900000000000000e+00	2.899937e+00	1.124701e-07
3.000000000000000e+00	2.999937e+00	1.126440e-07
3.100000000000000e+00	3.099937e+00	1.128179e-07
3.200000000000000e+00	3.199937e+00	1.129918e-07
3.300000000000000e+00	3.299937e+00	1.131658e-07
3.400000000000000e+00	3.399936e+00	1.133397e-07
3.500000000000000e+00	3.499936e+00	1.135136e-07
3.600000000000000e+00	3.599936e+00	1.136875e-07
3.700000000000000e+00	3.699936e+00	1.138614e-07
3.800000000000000e+00	3.799936e+00	1.140353e-07
3.900000000000000e+00	3.899936e+00	1.142092e-07
4.000000000000000e+00	3.999936e+00	1.143831e-07
4.100000000000001e+00	4.099936e+00	1.145570e-07
4.200000000000000e+00	4.199936e+00	1.147309e-07
4.300000000000000e+00	4.299936e+00	1.149048e-07
4.400000000000000e+00	4.399936e+00	1.150787e-07
4.500000000000000e+00	4.499936e+00	1.152527e-07
4.600000000000001e+00	4.599936e+00	1.154266e-07
4.700000000000000e+00	4.699935e+00	1.156005e-07
4.800000000000001e+00	4.799935e+00	1.157744e-07
4.900000000000000e+00	4.899935e+00	1.159483e-07
5.000000000000000e+00	4.999935e+00	1.161222e-07
5.100000000000001e+00	5.099935e+00	1.162961e-07
5.200000000000000e+00	5.199935e+00	1.164700e-07
5.300000000000001e+00	5.299935e+00	1.166439e-07
5.400000000000000e+00	5.399935e+00	1.168179e-07
5.500000000000000e+00	5.499935e+00	1.169918e-07
5.600000000000001e+00	5.599935e+00	1.171657e-07
5.700000000000000e+00	5.699934e+00	1.173396e-07
5.800000000000001e+00	5.799934e+00	1.175135e-07
5.900000000000000e+00	5.899934e+00	1.176874e-07
6.000000000000000e+00	5.999934e+00	1.178613e-07
6.100000000000001e+00	6.099934e+00	1.180352e-07
6.200000000000000e+00	6.199934e+00	1.182091e-07
6.300000000000001e+00	6.299934e+00	1.183830e-07
6.400000000000000e+00	6.399934e+00	1.185570e-07
6.500000000000000e+00	6.499934e+00	1.187309e-07
6.600000000000001e+00	6.599934e+00	1.189048e-07
6.700000000000000e+00	6.699934e+00	1.190787e-07
6.800000000000001e+00	6.799933e+00	1.192526e-07
6.900000000000000e+00	6.899933e+00	1.194265e-07
7.000000000000000e+00	6.999933e+00	1.196004e-07
7.100000000000001e+00	7.099933e+00	1.197744e-07
7.200000000000000e+00	7.199933e+00	1.199483e-07
7.300000000000001e+00	7.299933e+00	1.201222e-07
7.400000000000000e+00	7.399933e+00	1.202961e-07
7.500000000000000e+00	7.499933e+00	1.204700e-07
7.600000000000001e+00	7.599933e+00	1.206439e-07
7.700000000000000e+00	7.699933e+00	1.208178e-07
7.800000000000001e+00	7.799932e+00	1.209917e-07
7.900000000000000e+00	7.899932e+00	1.211657e-07
8.000000000000000e+00	7.999932e+00	1.213396e-07
8.100000000000000e+00	8.099932e+00	1.215135e-07
8.200000000000001e+00	8.199932e+00	1.216874e-07
8.300000000000001e+00	8.299932e+00	1.218613e-07
8.400000000000000e+00	8.399932e+00	1.220352e-07
8.500000000000000e+00	8.499931e+00	1.222091e-07
8.600000000000000e+00	8.599932e+00	1.223831e-07
8.700000000000001e+00	8.699931e+00	1.225570e-07
8.800000000000001e+00	8.799932e+00	1.227309e-07
8.900000000000000e+00	8.899931e+00	1.229048e-07
9.000000000000000e+00	8.999931e+00	1.230787e-07
9.100000000000000e+00	9.099931e+00	1.232526e-07
9.200000000000001e+00	9.199931e+00	1.234265e-07
9.300000000000001e+00	9.299931e+00	1.236005e-07
9.400000000000000e+00	9.399931e+00	1.237744e-07
9.500000000000000e+00	9.499930e+00	1.239483e-07
9.600000000000001e+00	9.599931e+00	1.241222e-07
9.700000000000001e+00	9.699930e+00	1.242961e-07
9.800000000000001e+00	9.799931e+00	1.244700e-07
9.900000000000000e+00	9.899930e+00	1.246440e-07
1.000000000000000e+01	9.999930e+00	1.248179e-07
Step Information: Vbb=600m  (Step: 4/26)
0.000000000000000e+00	6.914646e-04	-1.234758e-06
1.000000000000000e-01	8.130327e-02	3.338708e-05
2.000000000000000e-01	1.597749e-01	7.183061e-05
3.000000000000000e-01	2.562704e-01	7.808870e-05
4.000000000000000e-01	3.560608e-01	7.846296e-05
