time	V(vo)	V(n001)
7.950576961660318e-03	2.023982e+01	2.037334e+01
7.975421225958549e-03	2.013875e+01	2.016086e+01
7.992312321397797e-03	2.001288e+01	2.001569e+01
8.004987155302986e-03	1.990705e+01	1.990639e+01
8.016979735358672e-03	1.980227e+01	1.980268e+01
8.030171446279115e-03	1.968924e+01	1.968827e+01
8.048196528649047e-03	1.953106e+01	1.953141e+01
8.067705423072434e-03	1.936189e+01	1.936092e+01
8.099587532735830e-03	1.908042e+01	1.908075e+01
8.138650032735829e-03	1.873584e+01	1.873487e+01
8.177712532735828e-03	1.838585e+01	1.838616e+01
8.216775032735827e-03	1.803566e+01	1.803469e+01
8.255837532735826e-03	1.768019e+01	1.768050e+01
8.294900032735825e-03	1.732462e+01	1.732365e+01
8.333962532735825e-03	1.696389e+01	1.696419e+01
8.373025032735824e-03	1.660315e+01	1.660217e+01
8.412087532735823e-03	1.623737e+01	1.623766e+01
8.451150032735822e-03	1.587167e+01	1.587070e+01
8.490212532735821e-03	1.550107e+01	1.550135e+01
8.529275032735820e-03	1.513064e+01	1.512966e+01
8.568337532735820e-03	1.475543e+01	1.475570e+01
8.607400032735819e-03	1.438049e+01	1.437952e+01
8.646462532735818e-03	1.400091e+01	1.400117e+01
8.685525032735817e-03	1.362168e+01	1.362071e+01
8.724587532735816e-03	1.323794e+01	1.323820e+01
8.763650032735815e-03	1.285466e+01	1.285369e+01
8.802712532735815e-03	1.246701e+01	1.246725e+01
8.841775032735814e-03	1.207990e+01	1.207893e+01
8.880837532735813e-03	1.168856e+01	1.168880e+01
8.919900032735812e-03	1.129787e+01	1.129690e+01
8.958962532735811e-03	1.090308e+01	1.090330e+01
8.998025032735810e-03	1.050903e+01	1.050806e+01
9.037087532735810e-03	1.011102e+01	1.011124e+01
9.076150032735809e-03	9.713861e+00	9.712894e+00
9.115212532735808e-03	9.312874e+00	9.313087e+00
9.154275032735807e-03	8.912841e+00	8.911876e+00
9.193337532735806e-03	8.509117e+00	8.509323e+00
9.232400032735805e-03	8.106452e+00	8.105490e+00
9.271462532735805e-03	7.700235e+00	7.700435e+00
9.310525032735804e-03	7.295180e+00	7.294220e+00
9.349587532735803e-03	6.886715e+00	6.886907e+00
9.388650032735802e-03	6.479515e+00	6.478557e+00
9.427712532735801e-03	6.069045e+00	6.069232e+00
9.466775032735800e-03	5.659947e+00	5.658992e+00
9.505837532735800e-03	5.247720e+00	5.247900e+00
9.544900032735799e-03	4.836971e+00	4.836018e+00
9.583962532735798e-03	4.423233e+00	4.423408e+00
9.623025032735797e-03	4.011081e+00	4.010131e+00
9.662087532735796e-03	3.596112e+00	3.596250e+00
9.701150032735795e-03	3.183146e+00	3.181828e+00
9.740212532735795e-03	2.767062e+00	2.766927e+00
9.779275032735794e-03	2.352930e+00	2.351609e+00
9.818337532735793e-03	1.936131e+00	1.935937e+00
9.857400032735792e-03	1.521324e+00	1.519973e+00
9.896462532735791e-03	1.104030e+00	1.103780e+00
9.935525032735790e-03	6.888146e-01	6.874216e-01
9.974587532735790e-03	2.712689e-01	2.709592e-01
1.001365003273579e-02	-1.440975e-01	-1.455439e-01
1.005271253273579e-02	-5.616435e-01	-5.620251e-01
1.009177503273579e-02	-9.769078e-01	-9.784217e-01
1.013083753273579e-02	-1.394200e+00	-1.394671e+00
