V1	I(D1)
-6.000000000000000e+01	-1.857761e-02
-5.990000000000000e+01	-1.848251e-02
-5.980000000000000e+01	-1.838740e-02
-5.970000000000000e+01	-1.829229e-02
-5.960000000000000e+01	-1.819719e-02
-5.950000000000000e+01	-1.810209e-02
-5.940000000000000e+01	-1.800698e-02
-5.930000000000000e+01	-1.791188e-02
-5.920000000000000e+01	-1.781678e-02
-5.910000000000000e+01	-1.772168e-02
-5.900000000000000e+01	-1.762658e-02
-5.890000000000000e+01	-1.753148e-02
-5.880000000000000e+01	-1.743638e-02
-5.870000000000000e+01	-1.734128e-02
-5.860000000000000e+01	-1.724618e-02
-5.850000000000000e+01	-1.715109e-02
-5.840000000000000e+01	-1.705599e-02
-5.830000000000000e+01	-1.696089e-02
-5.820000000000000e+01	-1.686580e-02
-5.810000000000000e+01	-1.677071e-02
-5.800000000000000e+01	-1.667561e-02
-5.790000000000000e+01	-1.658052e-02
-5.780000000000000e+01	-1.648543e-02
-5.770000000000000e+01	-1.639034e-02
-5.760000000000000e+01	-1.629525e-02
-5.750000000000000e+01	-1.620016e-02
-5.740000000000000e+01	-1.610507e-02
-5.730000000000000e+01	-1.600998e-02
-5.720000000000000e+01	-1.591490e-02
-5.710000000000000e+01	-1.581981e-02
-5.700000000000000e+01	-1.572473e-02
-5.690000000000000e+01	-1.562965e-02
-5.680000000000000e+01	-1.553456e-02
-5.670000000000000e+01	-1.543948e-02
-5.660000000000000e+01	-1.534440e-02
-5.650000000000000e+01	-1.524932e-02
-5.640000000000000e+01	-1.515424e-02
-5.630000000000000e+01	-1.505916e-02
-5.620000000000000e+01	-1.496409e-02
-5.610000000000000e+01	-1.486901e-02
-5.600000000000000e+01	-1.477394e-02
-5.590000000000000e+01	-1.467886e-02
-5.580000000000000e+01	-1.458379e-02
-5.570000000000000e+01	-1.448872e-02
-5.560000000000000e+01	-1.439365e-02
-5.550000000000000e+01	-1.429858e-02
-5.540000000000000e+01	-1.420351e-02
-5.530000000000000e+01	-1.410844e-02
-5.520000000000000e+01	-1.401337e-02
-5.510000000000000e+01	-1.391831e-02
-5.500000000000000e+01	-1.382324e-02
-5.490000000000000e+01	-1.372818e-02
-5.480000000000000e+01	-1.363312e-02
-5.470000000000000e+01	-1.353806e-02
-5.460000000000000e+01	-1.344300e-02
-5.450000000000000e+01	-1.334794e-02
-5.440000000000000e+01	-1.325288e-02
-5.430000000000000e+01	-1.315783e-02
-5.420000000000000e+01	-1.306277e-02
-5.410000000000000e+01	-1.296772e-02
-5.400000000000000e+01	-1.287267e-02
-5.390000000000000e+01	-1.277762e-02
-5.380000000000000e+01	-1.268257e-02
-5.370000000000000e+01	-1.258752e-02
-5.360000000000000e+01	-1.249248e-02
-5.350000000000000e+01	-1.239743e-02
-5.340000000000000e+01	-1.230239e-02
-5.330000000000000e+01	-1.220734e-02
-5.320000000000000e+01	-1.211230e-02
-5.310000000000000e+01	-1.201726e-02
-5.300000000000000e+01	-1.192223e-02
-5.290000000000000e+01	-1.182719e-02
-5.280000000000000e+01	-1.173216e-02
-5.270000000000000e+01	-1.163713e-02
-5.260000000000000e+01	-1.154209e-02
-5.250000000000000e+01	-1.144706e-02
-5.240000000000000e+01	-1.135204e-02
-5.230000000000000e+01	-1.125701e-02
-5.220000000000000e+01	-1.116199e-02
-5.210000000000000e+01	-1.106696e-02
-5.200000000000000e+01	-1.097194e-02
-5.190000000000000e+01	-1.087692e-02
-5.180000000000000e+01	-1.078191e-02
-5.170000000000000e+01	-1.068689e-02
-5.160000000000000e+01	-1.059188e-02
-5.150000000000000e+01	-1.049687e-02
-5.140000000000000e+01	-1.040186e-02
-5.130000000000000e+01	-1.030685e-02
-5.120000000000000e+01	-1.021185e-02
-5.110000000000000e+01	-1.011685e-02
-5.100000000000000e+01	-1.002184e-02
-5.090000000000000e+01	-9.926846e-03
-5.080000000000000e+01	-9.831850e-03
-5.070000000000000e+01	-9.736856e-03
-5.060000000000000e+01	-9.641864e-03
-5.050000000000000e+01	-9.546876e-03
-5.040000000000000e+01	-9.451889e-03
-5.030000000000000e+01	-9.356905e-03
-5.020000000000000e+01	-9.261923e-03
-5.010000000000000e+01	-9.166944e-03
-5.000000000000000e+01	-9.071968e-03
-4.990000000000000e+01	-8.976994e-03
-4.980000000000000e+01	-8.882022e-03
-4.970000000000000e+01	-8.787055e-03
-4.960000000000000e+01	-8.692089e-03
-4.950000000000000e+01	-8.597127e-03
-4.940000000000000e+01	-8.502168e-03
-4.930000000000000e+01	-8.407211e-03
-4.920000000000000e+01	-8.312258e-03
-4.910000000000000e+01	-8.217308e-03
-4.900000000000000e+01	-8.122361e-03
-4.890000000000000e+01	-8.027418e-03
-4.880000000000000e+01	-7.932478e-03
-4.870000000000000e+01	-7.837541e-03
-4.860000000000000e+01	-7.742609e-03
-4.850000000000000e+01	-7.647680e-03
-4.840000000000000e+01	-7.552754e-03
-4.830000000000000e+01	-7.457833e-03
-4.820000000000000e+01	-7.362916e-03
-4.810000000000000e+01	-7.268002e-03
-4.800000000000000e+01	-7.173093e-03
-4.790000000000000e+01	-7.078188e-03
-4.780000000000000e+01	-6.983288e-03
-4.770000000000000e+01	-6.888391e-03
-4.760000000000000e+01	-6.793500e-03
-4.750000000000000e+01	-6.698614e-03
-4.740000000000000e+01	-6.603732e-03
-4.730000000000000e+01	-6.508856e-03
-4.720000000000000e+01	-6.413985e-03
-4.710000000000000e+01	-6.319119e-03
-4.700000000000000e+01	-6.224258e-03
-4.690000000000000e+01	-6.129404e-03
-4.680000000000000e+01	-6.034555e-03
-4.670000000000000e+01	-5.939712e-03
-4.660000000000000e+01	-5.844876e-03
-4.650000000000000e+01	-5.750046e-03
-4.640000000000000e+01	-5.655222e-03
-4.630000000000000e+01	-5.560406e-03
-4.620000000000000e+01	-5.465596e-03
-4.610000000000000e+01	-5.370794e-03
-4.600000000000000e+01	-5.276000e-03
-4.590000000000000e+01	-5.181214e-03
-4.580000000000000e+01	-5.086436e-03
-4.570000000000000e+01	-4.991666e-03
-4.560000000000000e+01	-4.896905e-03
-4.550000000000000e+01	-4.802154e-03
-4.540000000000000e+01	-4.707412e-03
-4.530000000000000e+01	-4.612680e-03
-4.520000000000000e+01	-4.517958e-03
-4.510000000000000e+01	-4.423247e-03
-4.500000000000000e+01	-4.328547e-03
-4.490000000000000e+01	-4.233859e-03
-4.480000000000000e+01	-4.139183e-03
-4.470000000000000e+01	-4.044520e-03
-4.460000000000000e+01	-3.949871e-03
-4.450000000000000e+01	-3.855235e-03
-4.440000000000000e+01	-3.760614e-03
-4.430000000000000e+01	-3.666009e-03
-4.420000000000000e+01	-3.571420e-03
-4.410000000000000e+01	-3.476849e-03
-4.400000000000000e+01	-3.382295e-03
-4.390000000000000e+01	-3.287761e-03
-4.380000000000000e+01	-3.193246e-03
-4.370000000000000e+01	-3.098754e-03
-4.359999999999999e+01	-3.004283e-03
-4.350000000000000e+01	-2.909838e-03
-4.340000000000000e+01	-2.815417e-03
-4.330000000000000e+01	-2.721025e-03
-4.320000000000000e+01	-2.626662e-03
-4.309999999999999e+01	-2.532330e-03
-4.300000000000000e+01	-2.438032e-03
-4.290000000000000e+01	-2.343771e-03
-4.280000000000000e+01	-2.249549e-03
-4.270000000000000e+01	-2.155370e-03
-4.259999999999999e+01	-2.061238e-03
-4.250000000000000e+01	-1.967157e-03
-4.240000000000000e+01	-1.873131e-03
-4.230000000000000e+01	-1.779166e-03
-4.220000000000000e+01	-1.685270e-03
-4.209999999999999e+01	-1.591449e-03
-4.200000000000000e+01	-1.497713e-03
-4.190000000000000e+01	-1.404071e-03
-4.180000000000000e+01	-1.310538e-03
-4.170000000000000e+01	-1.217128e-03
-4.159999999999999e+01	-1.123861e-03
-4.150000000000000e+01	-1.030761e-03
-4.140000000000000e+01	-9.378575e-04
-4.130000000000000e+01	-8.451907e-04
-4.120000000000000e+01	-7.528131e-04
-4.109999999999999e+01	-6.607967e-04
-4.100000000000000e+01	-5.692437e-04
-4.090000000000000e+01	-4.783061e-04
-4.080000000000000e+01	-3.882223e-04
-4.070000000000000e+01	-2.993968e-04
-4.059999999999999e+01	-2.125901e-04
-4.050000000000000e+01	-1.297150e-04
-4.040000000000000e+01	-5.565655e-05
-4.030000000000000e+01	-8.952971e-06
-4.020000000000000e+01	-1.591502e-06
-4.009999999999999e+01	-1.382054e-06
-4.000000000000000e+01	-1.377865e-06
-3.990000000000000e+01	-1.377772e-06
-3.980000000000000e+01	-1.377770e-06
-3.970000000000000e+01	-1.377770e-06
-3.959999999999999e+01	-1.377770e-06
-3.950000000000000e+01	-1.377770e-06
-3.940000000000000e+01	-1.377769e-06
-3.930000000000000e+01	-1.377769e-06
-3.920000000000000e+01	-1.377769e-06
-3.909999999999999e+01	-1.377769e-06
-3.900000000000000e+01	-1.377769e-06
-3.890000000000000e+01	-1.377769e-06
-3.880000000000000e+01	-1.377769e-06
-3.870000000000000e+01	-1.377769e-06
-3.859999999999999e+01	-1.377769e-06
-3.850000000000000e+01	-1.377769e-06
-3.840000000000000e+01	-1.377768e-06
-3.830000000000000e+01	-1.377768e-06
-3.820000000000000e+01	-1.377768e-06
-3.809999999999999e+01	-1.377768e-06
