V1	V(d1)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	4.787610e-04	9.521239e-06
2.000000000000000e-02	9.524836e-04	1.904752e-05
3.000000000000000e-02	1.421272e-03	2.857873e-05
4.000000000000000e-02	1.885228e-03	3.811477e-05
5.000000000000000e-02	2.344450e-03	4.765555e-05
6.000000000000000e-02	2.799033e-03	5.720097e-05
7.000000000000001e-02	3.249070e-03	6.675093e-05
8.000000000000000e-02	3.694651e-03	7.630535e-05
9.000000000000000e-02	4.135863e-03	8.586414e-05
1.000000000000000e-01	4.572792e-03	9.542721e-05
1.100000000000000e-01	5.005518e-03	1.049945e-04
1.200000000000000e-01	5.434124e-03	1.145659e-04
1.300000000000000e-01	5.858686e-03	1.241413e-04
1.400000000000000e-01	6.279281e-03	1.337207e-04
1.500000000000000e-01	6.695981e-03	1.433040e-04
1.600000000000000e-01	7.108859e-03	1.528911e-04
1.700000000000000e-01	7.517984e-03	1.624820e-04
1.800000000000000e-01	7.923424e-03	1.720766e-04
1.900000000000000e-01	8.325246e-03	1.816748e-04
2.000000000000000e-01	8.723513e-03	1.912765e-04
2.100000000000000e-01	9.118288e-03	2.008817e-04
2.200000000000000e-01	9.509632e-03	2.104904e-04
2.300000000000000e-01	9.897606e-03	2.201024e-04
2.400000000000000e-01	1.028226e-02	2.297177e-04
2.500000000000000e-01	1.066367e-02	2.393363e-04
2.600000000000000e-01	1.104187e-02	2.489581e-04
2.700000000000000e-01	1.141692e-02	2.585831e-04
2.800000000000000e-01	1.178888e-02	2.682111e-04
2.900000000000000e-01	1.215779e-02	2.778422e-04
3.000000000000000e-01	1.252371e-02	2.874763e-04
3.100000000000000e-01	1.288668e-02	2.971133e-04
3.200000000000000e-01	1.324675e-02	3.067532e-04
3.300000000000000e-01	1.360397e-02	3.163960e-04
3.400000000000000e-01	1.395838e-02	3.260416e-04
3.500000000000000e-01	1.431003e-02	3.356900e-04
3.600000000000000e-01	1.465896e-02	3.453410e-04
3.700000000000000e-01	1.500522e-02	3.549948e-04
3.800000000000000e-01	1.534883e-02	3.646512e-04
3.900000000000000e-01	1.568985e-02	3.743102e-04
4.000000000000000e-01	1.602832e-02	3.839717e-04
4.100000000000000e-01	1.636427e-02	3.936357e-04
4.200000000000000e-01	1.669773e-02	4.033023e-04
4.300000000000000e-01	1.702875e-02	4.129712e-04
4.400000000000000e-01	1.735737e-02	4.226426e-04
4.500000000000000e-01	1.768362e-02	4.323164e-04
4.600000000000000e-01	1.800752e-02	4.419925e-04
4.700000000000000e-01	1.832912e-02	4.516709e-04
4.800000000000000e-01	1.864846e-02	4.613515e-04
4.900000000000000e-01	1.896555e-02	4.710344e-04
5.000000000000000e-01	1.928044e-02	4.807196e-04
5.100000000000000e-01	1.959315e-02	4.904069e-04
5.200000000000000e-01	1.990371e-02	5.000963e-04
5.300000000000000e-01	2.021216e-02	5.097878e-04
5.400000000000000e-01	2.051852e-02	5.194815e-04
5.500000000000000e-01	2.082283e-02	5.291772e-04
5.600000000000001e-01	2.112510e-02	5.388749e-04
5.700000000000001e-01	2.142538e-02	5.485746e-04
5.800000000000000e-01	2.172367e-02	5.582763e-04
5.900000000000000e-01	2.202002e-02	5.679800e-04
6.000000000000000e-01	2.231444e-02	5.776855e-04
6.100000000000000e-01	2.260697e-02	5.873930e-04
6.200000000000000e-01	2.289762e-02	5.971024e-04
6.300000000000000e-01	2.318642e-02	6.068136e-04
6.400000000000000e-01	2.347340e-02	6.165266e-04
6.500000000000000e-01	2.375857e-02	6.262414e-04
6.600000000000000e-01	2.404197e-02	6.359580e-04
6.700000000000000e-01	2.432361e-02	6.456764e-04
6.800000000000000e-01	2.460351e-02	6.553965e-04
6.900000000000001e-01	2.488171e-02	6.651183e-04
7.000000000000001e-01	2.515821e-02	6.748418e-04
7.100000000000000e-01	2.543304e-02	6.845670e-04
7.200000000000000e-01	2.570622e-02	6.942938e-04
7.300000000000000e-01	2.597777e-02	7.040222e-04
7.400000000000000e-01	2.624771e-02	7.137523e-04
7.500000000000000e-01	2.651606e-02	7.234839e-04
7.600000000000000e-01	2.678284e-02	7.332172e-04
7.700000000000000e-01	2.704807e-02	7.429519e-04
7.800000000000000e-01	2.731176e-02	7.526883e-04
7.900000000000000e-01	2.757393e-02	7.624261e-04
8.000000000000000e-01	2.783461e-02	7.721654e-04
