V1	V(d1)	I(D1)
8.000000000000000e+00	6.892627e-01	7.310737e-03
8.100000000000001e+00	6.897739e-01	7.410226e-03
8.200000000000001e+00	6.902783e-01	7.509722e-03
8.300000000000001e+00	6.907761e-01	7.609224e-03
8.400000000000000e+00	6.912675e-01	7.708733e-03
8.500000000000000e+00	6.917528e-01	7.808247e-03
8.600000000000001e+00	6.922320e-01	7.907768e-03
8.700000000000001e+00	6.927052e-01	8.007294e-03
8.800000000000001e+00	6.931728e-01	8.106827e-03
8.900000000000000e+00	6.936346e-01	8.206366e-03
9.000000000000000e+00	6.940910e-01	8.305909e-03
9.100000000000001e+00	6.945420e-01	8.405458e-03
9.200000000000001e+00	6.949878e-01	8.505012e-03
9.300000000000001e+00	6.954284e-01	8.604571e-03
9.400000000000000e+00	6.958641e-01	8.704136e-03
9.500000000000000e+00	6.962948e-01	8.803705e-03
9.600000000000001e+00	6.967208e-01	8.903279e-03
9.700000000000001e+00	6.971421e-01	9.002858e-03
9.800000000000001e+00	6.975589e-01	9.102441e-03
9.900000000000000e+00	6.979712e-01	9.202029e-03
1.000000000000000e+01	6.983790e-01	9.301621e-03
