V1	V(d1)	I(D1)
0.000000000000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-02	9.965531e-03	3.446940e-08
2.000000000000000e-02	1.991772e-02	8.227965e-08
3.000000000000000e-02	2.985148e-02	1.485249e-07
4.000000000000000e-02	3.975982e-02	2.401815e-07
5.000000000000000e-02	4.963325e-02	3.667471e-07
6.000000000000000e-02	5.945895e-02	5.410471e-07
7.000000000000001e-02	6.921979e-02	7.802091e-07
8.000000000000000e-02	7.889324e-02	1.106764e-06
9.000000000000000e-02	8.845025e-02	1.549751e-06
1.000000000000000e-01	9.785441e-02	2.145598e-06
1.100000000000000e-01	1.070616e-01	2.938394e-06
1.200000000000000e-01	1.160209e-01	3.979068e-06
1.300000000000000e-01	1.246770e-01	5.323035e-06
1.400000000000000e-01	1.329738e-01	7.026150e-06
1.500000000000000e-01	1.408606e-01	9.139421e-06
1.600000000000000e-01	1.482964e-01	1.170355e-05
1.700000000000000e-01	1.552553e-01	1.474473e-05
1.800000000000000e-01	1.617272e-01	1.827280e-05
1.900000000000000e-01	1.677180e-01	2.228197e-05
2.000000000000000e-01	1.732464e-01	2.675364e-05
2.100000000000000e-01	1.783399e-01	3.166013e-05
2.200000000000000e-01	1.830315e-01	3.696850e-05
2.300000000000000e-01	1.873563e-01	4.264368e-05
2.400000000000000e-01	1.913492e-01	4.865078e-05
2.500000000000000e-01	1.950434e-01	5.495659e-05
2.600000000000000e-01	1.984696e-01	6.153040e-05
2.700000000000000e-01	2.016557e-01	6.834435e-05
2.800000000000000e-01	2.046265e-01	7.537351e-05
2.900000000000000e-01	2.074043e-01	8.259574e-05
3.000000000000000e-01	2.100085e-01	8.999149e-05
3.100000000000000e-01	2.124565e-01	9.754353e-05
3.200000000000000e-01	2.147633e-01	1.052367e-04
3.300000000000000e-01	2.169424e-01	1.130576e-04
3.400000000000000e-01	2.190055e-01	1.209945e-04
3.500000000000000e-01	2.209629e-01	1.290371e-04
3.600000000000000e-01	2.228240e-01	1.371760e-04
3.700000000000000e-01	2.245968e-01	1.454032e-04
3.800000000000000e-01	2.262885e-01	1.537115e-04
3.900000000000000e-01	2.279057e-01	1.620943e-04
4.000000000000000e-01	2.294540e-01	1.705460e-04
4.100000000000000e-01	2.309388e-01	1.790612e-04
4.200000000000000e-01	2.323646e-01	1.876354e-04
4.300000000000000e-01	2.337355e-01	1.962645e-04
4.400000000000000e-01	2.350555e-01	2.049445e-04
4.500000000000000e-01	2.363279e-01	2.136721e-04
4.600000000000000e-01	2.375558e-01	2.224442e-04
4.700000000000000e-01	2.387421e-01	2.312579e-04
4.800000000000000e-01	2.398893e-01	2.401107e-04
4.900000000000000e-01	2.409998e-01	2.490002e-04
5.000000000000000e-01	2.420758e-01	2.579242e-04
5.100000000000000e-01	2.431192e-01	2.668808e-04
5.200000000000000e-01	2.441319e-01	2.758681e-04
5.300000000000000e-01	2.451155e-01	2.848845e-04
5.400000000000000e-01	2.460717e-01	2.939283e-04
5.500000000000000e-01	2.470017e-01	3.029983e-04
5.600000000000001e-01	2.479071e-01	3.120929e-04
5.700000000000001e-01	2.487889e-01	3.212111e-04
5.800000000000000e-01	2.496484e-01	3.303516e-04
5.900000000000000e-01	2.504866e-01	3.395134e-04
6.000000000000000e-01	2.513045e-01	3.486955e-04
6.100000000000000e-01	2.521031e-01	3.578969e-04
6.200000000000000e-01	2.528832e-01	3.671168e-04
6.300000000000000e-01	2.536456e-01	3.763544e-04
6.400000000000000e-01	2.543911e-01	3.856089e-04
6.500000000000000e-01	2.551204e-01	3.948796e-04
6.600000000000000e-01	2.558341e-01	4.041659e-04
6.700000000000000e-01	2.565330e-01	4.134670e-04
6.800000000000000e-01	2.572176e-01	4.227824e-04
6.900000000000001e-01	2.578884e-01	4.321116e-04
7.000000000000001e-01	2.585460e-01	4.414540e-04
7.100000000000000e-01	2.591909e-01	4.508091e-04
7.200000000000000e-01	2.598236e-01	4.601764e-04
7.300000000000000e-01	2.604445e-01	4.695555e-04
7.400000000000000e-01	2.610540e-01	4.789460e-04
7.500000000000000e-01	2.616526e-01	4.883474e-04
7.600000000000000e-01	2.622406e-01	4.977594e-04
7.700000000000000e-01	2.628184e-01	5.071816e-04
7.800000000000000e-01	2.633863e-01	5.166137e-04
7.900000000000000e-01	2.639447e-01	5.260553e-04
8.000000000000000e-01	2.644938e-01	5.355062e-04
