 time vin vout
 3.17500000e-08  1.80000000e+00 -7.35692955e-06 
 3.22500000e-08  1.80000000e+00  7.70291302e-06 
 3.27500000e-08  1.80000000e+00 -7.21887395e-06 
 3.32500000e-08  1.80000000e+00  7.56498149e-06 
 3.37500000e-08  1.80000000e+00 -7.08251265e-06 
 3.42500000e-08  1.80000000e+00  7.42961101e-06 
 3.47500000e-08  1.80000000e+00 -6.94864987e-06 
 3.52500000e-08  1.80000000e+00  7.29672052e-06 
 3.57500000e-08  1.80000000e+00 -6.81723987e-06 
 3.60000000e-08  1.80000000e+00  7.09451360e-06 
 3.60500000e-08  1.71000000e+00 -9.88745665e-04 
 3.61500000e-08  1.53000000e+00 -1.25789145e-03 
 3.63500000e-08  1.17000000e+00  1.22489404e-03 
 3.67500000e-08  4.50000000e-01  7.11396246e-01 
 3.70000000e-08  6.43929354e-15  1.23466895e+00 
 3.70500000e-08  0.00000000e+00  1.24059553e+00 
 3.71500000e-08  0.00000000e+00  1.24184078e+00 
 3.73500000e-08  0.00000000e+00  1.24081124e+00 
 3.77500000e-08  0.00000000e+00  1.24175748e+00 
 3.82500000e-08  0.00000000e+00  1.24085548e+00 
 3.87500000e-08  0.00000000e+00  1.24171237e+00 
 3.92500000e-08  0.00000000e+00  1.24089415e+00 
 3.97500000e-08  0.00000000e+00  1.24167430e+00 
 4.00000000e-08  0.00000000e+00  1.24094611e+00 
