V1	V(vg)	Ix(U1:G)
1.030000000000000e+01	3.693916e-01	2.112895e-03
1.040000000000000e+01	3.698852e-01	2.134067e-03
1.050000000000000e+01	3.703759e-01	2.155239e-03
1.060000000000000e+01	3.708637e-01	2.176412e-03
1.070000000000000e+01	3.713487e-01	2.197585e-03
1.080000000000000e+01	3.718309e-01	2.218759e-03
1.090000000000000e+01	3.723104e-01	2.239934e-03
1.100000000000000e+01	3.727873e-01	2.261109e-03
1.110000000000000e+01	3.732615e-01	2.282285e-03
1.120000000000000e+01	3.737332e-01	2.303461e-03
1.130000000000000e+01	3.742024e-01	2.324638e-03
1.140000000000000e+01	3.746691e-01	2.345815e-03
1.150000000000000e+01	3.751334e-01	2.366993e-03
1.160000000000000e+01	3.755953e-01	2.388171e-03
1.170000000000000e+01	3.760549e-01	2.409350e-03
1.180000000000000e+01	3.765122e-01	2.430529e-03
1.190000000000000e+01	3.769673e-01	2.451709e-03
1.200000000000000e+01	3.774201e-01	2.472889e-03
1.210000000000000e+01	3.778708e-01	2.494070e-03
1.220000000000000e+01	3.783193e-01	2.515251e-03
1.230000000000000e+01	3.787658e-01	2.536433e-03
1.240000000000000e+01	3.792102e-01	2.557615e-03
1.250000000000000e+01	3.796526e-01	2.578797e-03
1.260000000000000e+01	3.800930e-01	2.599980e-03
1.270000000000000e+01	3.805314e-01	2.621164e-03
1.280000000000000e+01	3.809679e-01	2.642347e-03
1.290000000000000e+01	3.814026e-01	2.663531e-03
1.300000000000000e+01	3.818354e-01	2.684716e-03
1.310000000000000e+01	3.822663e-01	2.705901e-03
1.320000000000000e+01	3.826955e-01	2.727086e-03
1.330000000000000e+01	3.831229e-01	2.748272e-03
1.340000000000000e+01	3.835485e-01	2.769458e-03
1.350000000000000e+01	3.839724e-01	2.790644e-03
1.360000000000000e+01	3.843947e-01	2.811831e-03
1.370000000000000e+01	3.848153e-01	2.833018e-03
1.380000000000000e+01	3.852342e-01	2.854205e-03
