V1	V(vg)	Ix(U1:A)
1.030000000000000e+01	6.355663e-01	2.113812e-02
1.040000000000000e+01	6.358115e-01	2.113814e-02
1.050000000000000e+01	6.360567e-01	2.113816e-02
1.060000000000000e+01	6.363018e-01	2.113818e-02
1.070000000000000e+01	6.365469e-01	2.113819e-02
1.080000000000000e+01	6.367919e-01	2.113821e-02
1.090000000000000e+01	6.370369e-01	2.113823e-02
1.100000000000000e+01	6.372818e-01	2.113825e-02
1.110000000000000e+01	6.375268e-01	2.113827e-02
1.120000000000000e+01	6.377716e-01	2.113829e-02
1.130000000000000e+01	6.380165e-01	2.113830e-02
1.140000000000000e+01	6.382613e-01	2.113832e-02
1.150000000000000e+01	6.385060e-01	2.113834e-02
1.160000000000000e+01	6.387507e-01	2.113836e-02
1.170000000000000e+01	6.389953e-01	2.113837e-02
1.180000000000000e+01	6.392400e-01	2.113839e-02
1.190000000000000e+01	6.394846e-01	2.113841e-02
1.200000000000000e+01	6.397291e-01	2.113843e-02
1.210000000000000e+01	6.399736e-01	2.113844e-02
1.220000000000000e+01	6.402181e-01	2.113846e-02
1.230000000000000e+01	6.404625e-01	2.113848e-02
1.240000000000000e+01	6.407070e-01	2.113849e-02
1.250000000000000e+01	6.409513e-01	2.113851e-02
1.260000000000000e+01	6.411956e-01	2.113852e-02
1.270000000000000e+01	6.414399e-01	2.113854e-02
1.280000000000000e+01	6.416841e-01	2.113856e-02
1.290000000000000e+01	6.419283e-01	2.113857e-02
1.300000000000000e+01	6.421725e-01	2.113859e-02
1.310000000000000e+01	6.424165e-01	2.113861e-02
1.320000000000000e+01	6.426606e-01	2.113862e-02
1.330000000000000e+01	6.429047e-01	2.113864e-02
1.340000000000000e+01	6.431487e-01	2.113865e-02
1.350000000000000e+01	6.433926e-01	2.113867e-02
1.360000000000000e+01	6.436366e-01	2.113868e-02
1.370000000000000e+01	6.438804e-01	2.113870e-02
1.380000000000000e+01	6.441243e-01	2.113871e-02
1.390000000000000e+01	6.443681e-01	2.113873e-02
1.400000000000000e+01	6.446119e-01	2.113874e-02
1.410000000000000e+01	6.448556e-01	2.113876e-02
1.420000000000000e+01	6.450993e-01	2.113877e-02
1.430000000000000e+01	6.453429e-01	2.113879e-02
1.440000000000000e+01	6.455866e-01	2.113880e-02
1.450000000000000e+01	6.458302e-01	2.113882e-02
1.460000000000000e+01	6.460737e-01	2.113883e-02
1.470000000000000e+01	6.463172e-01	2.113885e-02
1.480000000000000e+01	6.465607e-01	2.113886e-02
1.490000000000000e+01	6.468041e-01	2.113888e-02
1.500000000000000e+01	6.470475e-01	2.113889e-02
1.510000000000000e+01	6.472909e-01	2.113890e-02
1.520000000000000e+01	6.475342e-01	2.113892e-02
1.530000000000000e+01	6.477775e-01	2.113893e-02
1.540000000000000e+01	6.480207e-01	2.113895e-02
1.550000000000000e+01	6.482639e-01	2.113896e-02
1.560000000000000e+01	6.485071e-01	2.113897e-02
1.570000000000000e+01	6.487502e-01	2.113899e-02
1.580000000000000e+01	6.489933e-01	2.113900e-02
1.590000000000000e+01	6.492364e-01	2.113901e-02
1.600000000000000e+01	6.494794e-01	2.113903e-02
1.610000000000000e+01	6.497225e-01	2.113904e-02
1.620000000000000e+01	6.499654e-01	2.113905e-02
1.630000000000000e+01	6.502083e-01	2.113907e-02
1.640000000000000e+01	6.504512e-01	2.113908e-02
1.650000000000000e+01	6.506940e-01	2.113909e-02
1.660000000000000e+01	6.509368e-01	2.113911e-02
1.670000000000000e+01	6.511796e-01	2.113912e-02
1.680000000000000e+01	6.514224e-01	2.113913e-02
1.690000000000000e+01	6.516651e-01	2.113914e-02
1.700000000000000e+01	6.519077e-01	2.113916e-02
1.710000000000000e+01	6.521504e-01	2.113917e-02
1.720000000000000e+01	6.523930e-01	2.113918e-02
1.730000000000000e+01	6.526356e-01	2.113920e-02
1.740000000000000e+01	6.528781e-01	2.113921e-02
1.750000000000000e+01	6.531206e-01	2.113922e-02
1.760000000000000e+01	6.533630e-01	2.113923e-02
1.770000000000000e+01	6.536055e-01	2.113924e-02
1.780000000000000e+01	6.538479e-01	2.113926e-02
1.790000000000000e+01	6.540902e-01	2.113927e-02
1.800000000000000e+01	6.543325e-01	2.113928e-02
1.810000000000000e+01	6.545748e-01	2.113929e-02
1.820000000000000e+01	6.548171e-01	2.113930e-02
1.830000000000000e+01	6.550593e-01	2.113932e-02
1.840000000000000e+01	6.553015e-01	2.113933e-02
1.850000000000000e+01	6.555436e-01	2.113934e-02
1.860000000000000e+01	6.557857e-01	2.113935e-02
1.870000000000000e+01	6.560279e-01	2.113936e-02
1.880000000000000e+01	6.562698e-01	2.113937e-02
1.890000000000000e+01	6.565119e-01	2.113939e-02
1.900000000000000e+01	6.567539e-01	2.113940e-02
1.910000000000000e+01	6.569958e-01	2.113941e-02
1.920000000000000e+01	6.572377e-01	2.113942e-02
1.930000000000000e+01	6.574796e-01	2.113943e-02
1.940000000000000e+01	6.577215e-01	2.113944e-02
1.950000000000000e+01	6.579633e-01	2.113945e-02
1.960000000000000e+01	6.582050e-01	2.113946e-02
1.970000000000000e+01	6.584468e-01	2.113947e-02
1.980000000000000e+01	6.586885e-01	2.113949e-02
1.990000000000000e+01	6.589302e-01	2.113950e-02
2.000000000000000e+01	6.591718e-01	2.113951e-02
